order_id,order_date,customer_id,store_id,discount,payment_mode,order_status
69,02-01-2022,2067,2,0.1,UPI,Completed
70,27-01-2023,97,1,0.01,UPI,Completed
71,01-09-2022,1729,6,0.13,UPI,Completed
72,27-03-2022,2782,8,0.2,Card,Completed
73,15-05-2024,2821,10,0.12,Card,Returned
74,25-09-2024,356,8,0.05,UPI,Completed
75,10-05-2023,2473,8,0.01,Card,Returned
76,27-02-2022,2074,8,0.01,UPI,Returned
77,24-11-2024,2012,3,0.18,Card,Completed
78,23-05-2024,450,3,0.19,UPI,Completed
79,10-01-2023,916,6,0.17,Cash,Returned
80,13-10-2022,541,10,0.11,Card,Returned
81,07-05-2024,1941,1,0.06,Cash,Returned
82,23-06-2023,2723,6,0.09,Cash,Completed
83,18-01-2023,2723,4,0.09,Cash,Completed
84,29-10-2022,1231,3,0.15,Card,Completed
85,14-09-2023,562,6,0.18,Card,Completed
86,22-07-2022,707,7,0.11,Cash,Completed
87,17-11-2024,298,10,0.03,Cash,Returned
88,19-10-2023,1617,1,0.04,Cash,Completed
89,03-12-2024,1179,8,0.15,Card,Completed
90,09-08-2024,2664,6,0.06,Cash,Completed
91,06-07-2022,2833,8,0.2,Cash,Completed
92,06-05-2023,2319,4,0.07,Card,Completed
93,13-10-2022,2820,5,0.04,Cash,Completed
94,22-11-2023,750,8,0.07,Card,Returned
95,28-05-2022,1035,2,0.19,Cash,Returned
96,06-06-2023,2028,8,0.19,Cash,Completed
97,03-03-2024,1283,2,0.03,UPI,Completed
98,23-07-2023,441,9,0.11,UPI,Completed
99,06-08-2023,1761,4,0.05,Cash,Completed
100,05-02-2022,657,2,0.11,Cash,Completed
101,22-12-2022,903,5,0.02,UPI,Completed
102,28-06-2024,1813,3,0.15,Card,Returned
103,25-02-2023,2758,8,0.09,Cash,Completed
104,03-02-2024,592,2,0.12,Cash,Returned
105,25-12-2023,1660,5,0.05,Card,Completed
106,08-12-2023,1473,7,0,Card,Returned
107,07-09-2024,648,3,0.04,Cash,Completed
108,09-04-2022,937,2,0.14,UPI,Completed
109,11-06-2024,1141,3,0.05,Card,Completed
110,29-04-2023,71,4,0.12,UPI,Completed
111,29-12-2024,509,8,0.11,Card,Completed
112,29-10-2023,704,5,0.1,UPI,Completed
113,26-07-2023,1895,4,0.09,Cash,Completed
114,06-10-2022,3,5,0.09,Card,Returned
115,08-12-2022,2061,8,0.03,UPI,Completed
116,25-08-2022,2476,7,0.08,Card,Completed
117,11-02-2023,66,4,0.09,Cash,Completed
118,02-06-2023,1994,7,0.09,Card,Completed
119,18-05-2023,597,2,0.06,UPI,Completed
120,19-05-2022,1444,6,0.04,Cash,Completed
121,07-07-2023,246,1,0.1,Cash,Completed
122,16-11-2023,2511,8,0.07,Card,Completed
123,02-11-2024,276,3,0.19,Card,Completed
124,28-03-2023,172,1,0.06,UPI,Completed
125,16-05-2022,670,1,0.05,Card,Completed
126,13-06-2022,2742,8,0.16,Card,Completed
127,15-02-2022,1778,8,0.05,Cash,Completed
128,25-03-2023,1019,8,0.18,UPI,Completed
129,12-09-2024,2716,2,0.15,UPI,Returned
130,23-09-2023,966,8,0.18,Card,Returned
131,11-02-2024,340,2,0.02,Cash,Completed
132,08-11-2022,211,1,0.09,UPI,Completed
133,27-09-2023,1353,2,0.01,Cash,Completed
134,15-12-2022,1601,8,0.02,Cash,Completed
135,13-10-2024,2485,4,0.14,UPI,Returned
136,25-08-2023,2677,7,0.08,UPI,Completed
137,12-06-2022,241,10,0.18,UPI,Completed
138,13-09-2024,1784,7,0.02,Cash,Completed
139,11-03-2024,785,6,0.01,UPI,Completed
140,14-05-2024,2697,6,0.19,Cash,Completed
141,01-05-2024,382,8,0.18,Card,Completed
142,16-11-2024,2474,8,0.19,UPI,Completed
143,15-09-2024,2053,4,0.04,Card,Completed
144,13-11-2023,74,7,0.12,UPI,Returned
145,15-04-2023,2738,10,0.05,Card,Completed
146,15-07-2023,2193,9,0.19,UPI,Completed
147,29-12-2022,2233,4,0,Card,Completed
148,13-12-2022,2693,5,0.13,Card,Completed
149,06-06-2022,638,2,0.17,UPI,Completed
150,21-08-2022,1849,6,0.02,Cash,Returned
151,28-05-2023,2971,1,0.18,Cash,Completed
152,02-12-2023,657,9,0.16,Cash,Completed
153,11-03-2023,687,4,0.12,Card,Completed
154,26-01-2024,816,1,0.01,UPI,Completed
155,16-07-2022,2436,9,0.11,UPI,Completed
156,24-08-2023,160,2,0.01,Card,Completed
157,23-12-2024,1491,2,0.1,Cash,Completed
158,13-01-2024,465,2,0.19,Card,Completed
159,11-06-2022,949,1,0.06,Cash,Completed
160,14-11-2023,1103,1,0.03,UPI,Completed
161,18-08-2024,1480,7,0.11,Card,Completed
162,24-03-2023,2985,3,0.03,Cash,Completed
163,09-03-2023,2512,7,0.04,Cash,Completed
164,13-09-2022,2896,7,0.05,Cash,Returned
165,27-01-2023,1037,3,0.12,Cash,Completed
166,06-04-2022,2996,2,0.14,UPI,Completed
167,08-08-2022,1399,4,0.09,UPI,Completed
168,26-10-2022,847,7,0.07,Cash,Completed
169,21-11-2022,252,1,0.15,Cash,Completed
170,04-08-2023,1145,3,0.09,UPI,Returned
171,07-07-2023,658,8,0.04,UPI,Completed
172,13-08-2022,1097,6,0.1,Cash,Completed
173,10-05-2023,1159,5,0.16,Cash,Completed
174,03-01-2022,1971,4,0.04,Cash,Completed
175,24-08-2024,2559,4,0.18,Card,Completed
176,01-06-2024,2304,1,0.14,UPI,Completed
177,24-04-2024,2192,2,0.02,Cash,Returned
178,18-07-2022,150,5,0,Cash,Returned
179,05-03-2023,383,6,0.18,Cash,Completed
180,01-04-2022,1950,5,0.11,Cash,Completed
181,01-01-2022,1750,6,0.19,Card,Completed
182,18-07-2023,789,3,0.16,UPI,Completed
183,28-08-2023,1888,1,0.13,UPI,Completed
184,21-01-2024,2569,5,0.17,Card,Completed
185,14-02-2024,32,3,0.07,Cash,Completed
186,09-06-2024,940,3,0.05,Cash,Completed
187,17-06-2023,2484,4,0.19,UPI,Completed
188,16-04-2023,2869,9,0.19,UPI,Returned
189,14-04-2022,2083,10,0.11,UPI,Completed
190,25-05-2024,2010,4,0.03,UPI,Completed
191,23-11-2023,123,1,0.15,UPI,Completed
192,04-12-2022,2610,10,0.02,Cash,Completed
193,03-10-2023,1553,2,0.16,Cash,Completed
194,12-08-2023,2012,9,0.18,UPI,Completed
195,18-08-2024,166,9,0.09,UPI,Completed
196,21-12-2024,615,7,0.08,UPI,Completed
197,28-09-2023,698,10,0.08,UPI,Completed
198,12-12-2024,757,3,0.01,Card,Completed
199,18-12-2024,509,9,0.18,Cash,Completed
200,22-11-2024,795,7,0.14,UPI,Completed
201,04-12-2024,2341,5,0.08,UPI,Completed
202,15-03-2023,427,5,0.19,Card,Completed
203,28-03-2022,765,7,0.16,Cash,Completed
204,20-08-2024,1546,5,0.08,Card,Completed
205,02-10-2022,1908,10,0.17,UPI,Completed
206,20-08-2023,979,4,0.18,UPI,Completed
207,19-03-2024,2984,4,0.16,UPI,Completed
208,11-09-2022,2230,1,0.12,UPI,Completed
209,13-03-2022,2963,2,0.19,Cash,Returned
210,22-01-2022,758,4,0.16,UPI,Completed
211,16-05-2023,2820,7,0.07,Cash,Returned
212,24-01-2024,2498,6,0.03,UPI,Completed
213,08-04-2023,948,7,0.11,Card,Completed
214,13-07-2024,1127,6,0.07,UPI,Completed
215,13-02-2022,1383,4,0.1,Card,Returned
216,24-04-2022,2131,4,0.07,Card,Completed
217,22-07-2024,298,6,0.19,UPI,Completed
218,17-04-2022,1761,9,0.11,Card,Completed
219,26-08-2022,992,5,0.18,UPI,Returned
220,18-12-2024,560,7,0.01,UPI,Completed
221,16-08-2023,1171,10,0.04,UPI,Returned
222,31-08-2023,2264,10,0.15,Cash,Returned
223,25-10-2022,2193,6,0.12,Cash,Completed
224,21-10-2024,1269,10,0.12,UPI,Completed
225,17-10-2022,1761,7,0.11,UPI,Returned
226,19-03-2023,1268,9,0.19,Cash,Completed
227,07-12-2023,1670,2,0.2,Cash,Returned
228,08-06-2024,2708,5,0.02,Cash,Returned
229,26-10-2022,780,9,0.06,Card,Completed
230,08-11-2024,1114,1,0.17,UPI,Returned
231,11-03-2024,1595,2,0.2,UPI,Returned
232,26-07-2023,329,5,0.13,UPI,Completed
233,29-12-2022,2579,9,0.04,Cash,Returned
234,21-06-2024,1814,10,0.06,UPI,Completed
235,04-10-2024,2970,8,0.18,UPI,Completed
236,18-07-2024,951,2,0.19,Card,Completed
237,14-08-2024,2232,2,0.09,UPI,Completed
238,01-01-2022,1556,2,0.04,Card,Completed
239,05-07-2024,305,9,0.06,Card,Completed
240,21-03-2024,1205,9,0.01,UPI,Returned
241,28-07-2022,1632,8,0.11,UPI,Returned
242,09-01-2023,420,4,0.05,Card,Completed
243,15-10-2023,1673,1,0.07,Cash,Returned
244,04-04-2024,2789,2,0.09,Cash,Completed
245,22-10-2022,346,3,0.04,Cash,Completed
246,05-07-2024,430,5,0.08,UPI,Completed
247,27-04-2023,1762,10,0.12,Card,Completed
248,16-04-2023,2713,9,0.09,Cash,Completed
249,05-11-2024,1876,1,0.14,Card,Completed
250,05-09-2024,803,9,0.15,Cash,Completed
251,19-02-2024,320,10,0.01,Cash,Returned
252,12-11-2022,531,6,0.1,UPI,Returned
253,09-12-2024,3,7,0.13,Cash,Completed
254,11-11-2023,2809,8,0.11,UPI,Completed
255,04-07-2023,1029,3,0.19,Card,Returned
256,12-03-2024,911,4,0.11,Cash,Completed
257,27-12-2024,1384,8,0.04,Card,Returned
258,01-04-2023,1407,9,0.12,Cash,Completed
259,12-03-2024,1513,6,0.01,Cash,Returned
260,16-01-2022,796,5,0.13,UPI,Completed
261,04-12-2022,193,4,0.1,Cash,Completed
262,25-08-2023,1859,2,0.07,Card,Completed
263,20-01-2024,2537,4,0.16,Card,Completed
264,02-02-2022,2543,5,0.19,UPI,Completed
265,19-12-2024,500,10,0.1,Cash,Completed
266,08-10-2022,1356,9,0.16,Card,Returned
267,10-07-2024,2208,8,0.06,UPI,Completed
268,31-12-2022,2057,3,0.06,Cash,Completed
269,22-02-2022,558,1,0.18,UPI,Completed
270,26-08-2022,1336,6,0.01,UPI,Completed
271,25-07-2022,1163,5,0.06,Cash,Returned
272,26-04-2024,614,1,0.03,Cash,Completed
273,01-10-2022,780,2,0.03,Cash,Completed
274,01-05-2022,1545,1,0.18,Cash,Completed
275,26-12-2024,677,8,0.08,Cash,Completed
276,29-06-2023,1982,3,0.08,Cash,Completed
277,29-07-2022,1608,1,0.11,UPI,Returned
278,10-05-2022,1873,4,0.04,Cash,Completed
279,26-07-2022,1750,6,0.13,Cash,Completed
280,16-05-2023,2366,9,0.04,Cash,Completed
281,27-11-2022,1611,5,0.05,UPI,Completed
282,06-01-2022,766,10,0.03,UPI,Completed
283,17-08-2024,2159,8,0.14,UPI,Returned
284,03-10-2022,1493,7,0.15,Cash,Completed
285,02-02-2024,2734,9,0.07,UPI,Returned
286,05-02-2022,1140,5,0.05,Card,Completed
287,16-02-2022,612,10,0.03,Cash,Completed
288,12-02-2023,1958,5,0.13,Cash,Completed
289,01-05-2024,1926,2,0.04,Cash,Returned
290,25-03-2024,199,3,0.15,UPI,Completed
291,13-10-2022,220,2,0.12,Cash,Completed
292,04-04-2024,429,3,0.18,UPI,Completed
293,25-08-2023,2343,4,0.09,Card,Completed
294,04-07-2022,1166,1,0.16,Cash,Returned
295,01-02-2023,2870,6,0.2,Card,Returned
296,09-12-2023,526,10,0.1,UPI,Completed
297,26-01-2023,1737,6,0.11,Cash,Completed
298,16-10-2022,1974,1,0.08,Card,Completed
299,02-06-2024,1746,10,0,UPI,Completed
300,19-06-2023,650,1,0.04,Cash,Completed
301,13-09-2022,70,10,0.07,Card,Returned
302,20-05-2024,707,4,0.05,UPI,Completed
303,31-08-2022,2107,2,0.01,UPI,Returned
304,27-01-2022,2118,2,0.16,Cash,Completed
305,05-02-2023,2083,1,0.08,UPI,Completed
306,12-11-2023,327,1,0.16,Card,Completed
307,10-06-2024,745,6,0.11,Cash,Completed
308,15-11-2023,815,4,0.12,UPI,Returned
309,12-05-2022,2149,4,0.17,Cash,Returned
310,29-06-2023,1651,7,0.09,Card,Completed
311,10-02-2022,2684,5,0.12,Cash,Completed
312,02-09-2023,2649,10,0.16,Card,Returned
313,04-09-2022,1699,7,0.12,Cash,Completed
314,23-07-2022,609,4,0.1,UPI,Returned
315,08-03-2023,2822,9,0.13,Cash,Completed
316,15-03-2023,1914,1,0.1,Cash,Completed
317,23-04-2022,649,1,0.13,Cash,Completed
318,27-04-2023,1513,10,0.11,Cash,Returned
319,28-10-2024,2564,10,0.19,Cash,Completed
320,17-06-2023,1246,9,0.03,UPI,Returned
321,15-06-2024,48,9,0.03,UPI,Completed
322,06-09-2023,2440,7,0.02,Cash,Completed
323,17-05-2024,2293,9,0.03,Cash,Returned
324,19-08-2022,1453,7,0.01,Cash,Completed
325,14-11-2023,2961,7,0.07,Card,Returned
326,10-02-2024,1572,9,0.05,Card,Returned
327,13-11-2024,1280,3,0.01,UPI,Completed
328,14-09-2022,2,9,0.19,UPI,Completed
329,20-05-2022,1741,1,0.12,UPI,Completed
330,23-02-2023,2928,7,0.02,UPI,Returned
331,31-03-2024,1362,1,0.18,Card,Completed
332,14-10-2023,2664,1,0.17,Cash,Completed
333,14-05-2022,2113,3,0.14,Cash,Completed
334,09-07-2023,1695,9,0.17,UPI,Completed
335,25-05-2023,2863,10,0.08,Cash,Returned
336,28-11-2023,2410,5,0.2,Cash,Completed
337,05-01-2023,240,8,0.2,UPI,Returned
338,25-05-2022,1944,2,0.08,Cash,Completed
339,06-10-2023,1019,7,0.2,Cash,Completed
340,03-11-2023,1526,10,0.01,Card,Completed
341,06-10-2022,1224,9,0.19,Card,Completed
342,08-02-2024,2796,5,0.16,Cash,Returned
343,29-09-2023,1290,7,0.17,Card,Returned
344,29-03-2023,788,9,0.16,UPI,Returned
345,20-02-2024,536,3,0.15,Card,Completed
346,16-11-2023,2473,10,0.07,UPI,Completed
347,26-05-2024,1960,8,0.06,UPI,Completed
348,27-10-2024,1029,9,0.16,Cash,Returned
349,10-08-2022,1944,10,0.1,Card,Returned
350,14-07-2023,1828,3,0.2,Card,Completed
351,04-12-2022,220,4,0.11,UPI,Returned
352,02-08-2024,2270,6,0.19,Cash,Completed
353,28-10-2024,1329,5,0.07,Card,Completed
354,18-09-2023,2674,6,0.06,Card,Completed
355,01-02-2023,632,8,0.06,Cash,Returned
356,04-03-2022,785,9,0.11,Cash,Completed
357,26-01-2022,2684,9,0.01,UPI,Returned
358,09-03-2022,1584,10,0.2,UPI,Completed
359,20-11-2024,284,7,0.09,Cash,Completed
360,25-05-2024,220,9,0.04,Cash,Completed
361,11-07-2024,2886,9,0.02,Cash,Completed
362,25-10-2024,2100,5,0.17,Cash,Returned
363,08-09-2024,429,5,0.17,Cash,Completed
364,02-06-2023,717,5,0.03,UPI,Completed
365,03-03-2022,1606,3,0.19,Cash,Completed
366,10-12-2022,597,2,0.01,UPI,Completed
367,10-05-2022,2834,9,0.08,Card,Returned
368,06-11-2024,2587,10,0.13,Cash,Returned
369,10-07-2022,1183,1,0.18,UPI,Completed
370,12-05-2024,2255,3,0.04,Card,Returned
371,28-01-2024,1143,6,0.19,Cash,Returned
372,05-07-2023,377,2,0,Cash,Returned
373,04-07-2024,2219,6,0.02,Cash,Completed
374,26-08-2023,2270,3,0.08,Cash,Returned
375,06-06-2024,2286,9,0.1,Cash,Completed
376,14-01-2024,1858,2,0.11,Card,Completed
377,18-02-2024,61,5,0.2,Cash,Completed
378,23-09-2024,1872,5,0.14,Cash,Completed
379,04-04-2024,565,7,0.05,UPI,Completed
380,04-08-2022,2268,6,0.14,Card,Returned
381,01-11-2024,518,1,0.17,UPI,Completed
382,28-03-2024,900,6,0.08,UPI,Returned
383,30-12-2022,2061,3,0.18,Cash,Completed
384,26-11-2022,2822,5,0.14,UPI,Completed
385,13-01-2022,1973,2,0.01,Card,Completed
386,03-01-2022,2501,3,0.17,UPI,Completed
387,21-06-2024,219,10,0.03,UPI,Completed
388,29-10-2024,2352,5,0.11,Card,Completed
389,24-04-2024,1412,3,0.12,Card,Returned
390,20-11-2024,579,8,0.04,Card,Completed
391,03-04-2022,630,6,0.15,Cash,Returned
392,13-03-2023,2984,6,0.09,Cash,Completed
393,10-06-2024,160,7,0.09,Cash,Completed
394,12-04-2023,1568,5,0.08,UPI,Completed
395,16-03-2024,1475,8,0.12,Card,Completed
396,14-11-2023,1330,2,0.01,Cash,Completed
397,24-07-2022,342,2,0.09,Cash,Returned
398,04-11-2023,1209,8,0.14,UPI,Completed
399,08-10-2023,1098,2,0.14,UPI,Completed
400,02-05-2022,44,3,0.17,Cash,Completed
401,22-11-2023,879,3,0.18,Card,Completed
402,27-01-2023,529,8,0.12,UPI,Completed
403,25-01-2022,833,10,0.02,Card,Completed
404,03-11-2024,2506,5,0.01,Cash,Completed
405,28-10-2022,188,6,0.08,UPI,Completed
406,31-05-2022,2240,7,0.14,Card,Completed
407,22-10-2024,1094,3,0.14,UPI,Completed
408,12-02-2024,644,6,0.07,UPI,Completed
409,07-06-2023,533,7,0.04,UPI,Returned
410,15-07-2022,286,1,0.15,UPI,Completed
411,13-05-2023,58,3,0.18,UPI,Completed
412,16-11-2023,2305,9,0.16,Cash,Returned
413,10-12-2022,1619,1,0.05,UPI,Returned
414,26-12-2023,2133,3,0.02,Card,Returned
415,30-06-2024,470,2,0.16,UPI,Completed
416,05-12-2024,2347,8,0.14,Cash,Completed
417,03-10-2023,2331,8,0.14,Card,Completed
418,14-04-2022,1392,4,0.1,Cash,Completed
419,13-11-2022,2083,10,0.1,UPI,Completed
420,29-11-2022,5,1,0.04,UPI,Completed
421,25-07-2023,2683,4,0.15,Cash,Completed
422,06-02-2023,2872,1,0.13,Cash,Completed
423,02-11-2022,898,3,0.03,Card,Returned
424,25-09-2022,2062,2,0.08,UPI,Returned
425,20-06-2024,1872,8,0.07,Cash,Completed
426,04-09-2023,1549,10,0.01,UPI,Completed
427,23-05-2023,2217,5,0.01,Card,Returned
428,09-05-2024,1995,1,0.1,Card,Returned
429,14-11-2024,1613,6,0.07,Card,Completed
430,20-09-2023,2477,4,0.14,Cash,Returned
431,23-09-2022,692,7,0.03,UPI,Completed
432,19-10-2023,1092,3,0.02,Cash,Completed
433,16-02-2023,2293,6,0.16,UPI,Completed
434,18-06-2023,829,1,0.16,UPI,Completed
435,10-04-2024,115,6,0.2,Card,Completed
436,13-02-2023,1477,4,0.09,Cash,Returned
437,04-03-2023,1149,3,0.02,Card,Completed
438,01-12-2023,760,7,0.12,Card,Completed
439,07-10-2022,982,6,0.16,Cash,Completed
440,05-02-2023,1016,3,0.19,UPI,Completed
441,27-03-2023,2695,8,0.05,Cash,Completed
442,12-10-2024,2175,6,0.18,UPI,Completed
443,09-07-2022,2282,5,0.06,UPI,Completed
444,17-10-2024,200,2,0.1,Cash,Completed
445,01-12-2023,605,4,0.18,Card,Returned
446,12-04-2024,772,4,0.09,UPI,Completed
447,09-11-2022,1800,9,0.01,Card,Completed
448,17-10-2023,1897,4,0.02,UPI,Completed
449,19-12-2024,2571,2,0.1,UPI,Completed
450,20-12-2023,2905,3,0.1,Card,Completed
451,20-05-2023,1409,3,0.14,Cash,Completed
452,25-06-2024,930,10,0.04,Cash,Completed
453,28-08-2024,2832,4,0.16,UPI,Completed
454,13-03-2022,1924,7,0.02,UPI,Returned
455,07-03-2024,2487,8,0.16,UPI,Completed
456,03-10-2024,511,3,0.08,Card,Completed
457,15-02-2023,1329,8,0.15,UPI,Completed
458,07-11-2024,70,2,0.15,Card,Completed
459,26-12-2023,1659,1,0.08,Cash,Completed
460,07-09-2024,1003,2,0.17,UPI,Completed
461,21-09-2024,2741,6,0.05,Cash,Completed
462,01-11-2022,56,2,0.04,Card,Completed
463,10-05-2022,1286,5,0.16,UPI,Completed
464,26-05-2024,2951,5,0.01,Cash,Completed
465,10-03-2023,2421,6,0.09,Card,Completed
466,07-02-2022,1039,3,0.09,UPI,Completed
467,06-10-2022,2986,2,0.03,UPI,Completed
468,18-03-2023,304,3,0.09,Card,Completed
469,15-06-2024,2671,7,0.13,UPI,Returned
470,02-03-2023,2585,10,0.18,Cash,Completed
471,25-09-2023,772,1,0.19,Cash,Completed
472,21-11-2022,496,10,0.01,UPI,Completed
473,03-01-2022,575,7,0.19,Card,Returned
474,10-07-2024,1268,2,0.08,UPI,Returned
475,12-04-2024,1001,6,0.06,UPI,Returned
476,17-01-2023,1903,8,0.02,Cash,Completed
477,26-02-2023,203,6,0.12,Cash,Completed
478,19-12-2024,660,8,0.08,UPI,Returned
479,16-03-2024,1429,5,0.08,Card,Completed
480,30-05-2022,1251,10,0.02,Cash,Completed
481,05-02-2022,2154,9,0.03,UPI,Completed
482,17-01-2022,2339,8,0.03,Cash,Completed
483,07-09-2024,1339,5,0.18,Cash,Completed
484,25-08-2024,2399,3,0.17,UPI,Completed
485,05-06-2024,1247,7,0.19,UPI,Completed
486,16-03-2024,1460,9,0.14,Card,Completed
487,11-06-2022,2350,10,0.04,UPI,Completed
488,05-03-2024,907,2,0.01,Cash,Completed
489,11-01-2023,781,7,0.03,Cash,Completed
490,27-09-2023,1874,5,0.04,Card,Completed
491,21-04-2023,2717,8,0.14,Card,Returned
492,24-09-2024,1795,5,0.01,Card,Completed
493,15-10-2023,240,3,0.05,Card,Completed
494,24-11-2023,743,8,0.15,Cash,Completed
495,24-04-2023,39,3,0,Card,Returned
496,17-08-2024,1807,2,0.15,UPI,Returned
497,26-05-2023,233,3,0.06,Card,Completed
498,18-04-2023,2383,9,0.15,Card,Completed
499,06-04-2022,521,9,0.06,UPI,Completed
500,01-12-2022,2712,3,0.06,Card,Completed
501,18-06-2023,1696,2,0.12,Cash,Completed
502,12-11-2022,2776,8,0.13,Card,Completed
503,29-02-2024,1615,9,0.06,Card,Completed
504,06-06-2022,764,2,0.03,UPI,Completed
505,17-11-2024,172,4,0.14,Cash,Returned
506,01-08-2022,2408,10,0.12,Cash,Completed
507,20-12-2022,719,3,0.18,Card,Completed
508,13-02-2022,1478,5,0.03,UPI,Returned
509,29-01-2023,800,1,0.14,UPI,Completed
510,07-11-2024,2455,10,0.18,UPI,Completed
511,24-01-2023,2793,8,0.1,Cash,Completed
512,15-07-2024,2040,8,0.06,UPI,Completed
513,17-12-2023,2224,2,0.03,Cash,Completed
514,06-11-2022,2427,5,0.02,Card,Returned
515,03-04-2024,953,7,0.05,Cash,Completed
516,15-06-2023,2554,9,0.01,Cash,Completed
517,08-08-2022,914,9,0.15,UPI,Completed
518,07-11-2022,387,3,0.16,Card,Completed
519,18-01-2022,426,10,0.02,Card,Completed
520,26-10-2024,2040,8,0.13,Card,Completed
521,29-09-2023,487,10,0.09,UPI,Completed
522,03-06-2022,792,3,0,Cash,Completed
523,03-06-2023,2179,4,0.16,UPI,Completed
524,14-12-2024,396,3,0.1,UPI,Completed
525,12-01-2022,1425,4,0.15,Cash,Completed
526,08-01-2022,1318,1,0.07,UPI,Completed
527,29-12-2023,2266,3,0.18,Cash,Completed
528,11-04-2023,727,9,0.2,UPI,Returned
529,01-11-2024,1378,2,0.18,Cash,Returned
530,07-06-2024,2262,5,0.19,UPI,Completed
531,01-11-2024,643,4,0.18,Cash,Completed
532,17-12-2023,766,8,0.15,Cash,Completed
533,29-01-2024,2384,3,0,Cash,Completed
534,28-08-2022,1887,9,0.14,Card,Returned
535,11-02-2024,1510,7,0.11,UPI,Completed
536,03-04-2023,2468,5,0.13,Cash,Completed
537,23-04-2024,1733,10,0.2,Card,Completed
538,21-09-2023,2810,8,0.05,Card,Completed
539,04-08-2024,994,5,0.17,Cash,Completed
540,29-12-2024,115,5,0.06,UPI,Completed
541,22-03-2022,1625,7,0.06,Cash,Completed
542,09-07-2023,2190,5,0.07,UPI,Completed
543,26-03-2022,1352,8,0.06,Cash,Completed
544,27-01-2022,194,1,0.04,Cash,Completed
545,18-07-2022,2286,5,0.15,UPI,Returned
546,28-11-2022,1698,1,0.01,Cash,Completed
547,27-09-2022,2464,10,0.19,Card,Returned
548,09-09-2023,159,7,0.03,UPI,Completed
549,01-01-2023,755,3,0.02,UPI,Completed
550,14-06-2023,2044,5,0.1,Card,Completed
